"Gen","Concordancia","logFC GSE78220","P GSE78220","logFC GSE215868","P GSE215868","logFC GSE211645","P GSE211645","En discovery"
"VCAN","Down en todas",-1.789,0.00856,-0.363,0.123,-0.017,0.971,"-"
"VCAM1","Down en todas",-0.614,0.228,-0.037,0.876,-0.216,0.561,"-"
"GNG4","Down en todas",-0.531,0.252,-0.06,0.76,-0.277,0.623,"-"
"CXCL14","Down en todas",-0.529,0.565,-0.387,0.45,-0.349,0.69,"-"
"CDH5","Down en todas",-0.446,0.166,-0.056,0.773,-0.387,0.276,"-"
"CD276","Down en todas",-0.372,0.285,-0.12,0.396,-0.087,0.756,"-"
"TLK2","Down en todas",-0.042,0.841,-0.071,0.427,-0.144,0.472,"-"
"ITGB3","Down en todas",-0.009,0.992,-0.359,0.287,-2.059,0.000634,"-"
"HLA-A","Up en todas",1.062,0.259,0.187,0.607,1.564,9.81e-05,"-"
"CTAG1B","Up en todas",0.934,0.215,0.055,0.933,0.009,0.991,"-"
"HLA-C","Up en todas",0.878,0.179,0.594,0.0202,1.235,0.00727,"-"
"HLA-B","Up en todas",0.636,0.32,0.667,0.0045,1.216,0.00692,"-"
"HLA-DQA1","Up en todas",0.625,0.452,1.149,0.165,2.573,4.6e-05,"-"
"TCL1A","Up en todas",0.595,0.304,0.182,0.586,1.004,0.108,"-"
"SLAMF7","Up en todas",0.538,0.407,0.468,0.107,1.392,0.00543,"-"
"HLA-DRB1","Up en todas",0.474,0.669,0.502,0.0786,1.7,0.00121,"-"
"HLA-F","Up en todas",0.473,0.357,0.633,0.0082,1.62,7.38e-05,"-"
"HLA-E","Up en todas",0.45,0.259,0.336,0.0663,1.428,0.000229,"-"
"G6PD","Up en todas",0.446,0.258,0.112,0.241,0.437,0.149,"-"
"IL6R","Up en todas",0.433,0.229,0.157,0.345,0.372,0.238,"-"
"PSMB8","Up en todas",0.42,0.238,0.613,0.00194,0.527,0.0551,"-"
"ICAM1","Up en todas",0.356,0.354,0.271,0.165,0.725,0.0424,"-"
"STAT3","Up en todas",0.323,0.277,0.011,0.911,0.301,0.181,"-"
"IFNGR1","Up en todas",0.322,0.389,0.03,0.817,0.503,0.0526,"-"
"TNFAIP3","Up en todas",0.318,0.441,0.097,0.679,0.953,0.00435,"-"
"SELL","Up en todas",0.314,0.554,0.188,0.462,0.848,0.0297,"-"
"CD69","Up en todas",0.283,0.618,0.094,0.714,0.803,0.11,"-"
"CCL19","Up en todas",0.276,0.774,0.101,0.806,1.579,0.0266,"-"
"PSMB10","Up en todas",0.238,0.594,0.486,0.00599,0.946,0.0198,"-"
"TAP2","Up en todas",0.236,0.425,0.419,0.0152,0.761,0.0165,"-"
"CD74","Up en todas",0.227,0.67,0.481,0.0523,2.16,0.000134,"-"
"B2M","Up en todas",0.222,0.582,0.537,0.00639,0.845,0.0122,"-"
"PSMB9","Up en todas",0.221,0.623,0.682,0.00406,1.131,0.00324,"-"
"IL18","Up en todas",0.22,0.702,0.172,0.495,0.721,0.105,"-"
"STAT2","Up en todas",0.219,0.389,0.159,0.215,0.294,0.17,"-"
"APOE","Up en todas",0.199,0.788,0.105,0.684,0.544,0.262,"-"
"HLA-DPA1","Up en todas",0.194,0.686,0.373,0.137,2.099,3.88e-05,"-"
"GNLY","Up en todas",0.185,0.724,0.546,0.0683,0.386,0.474,"-"
"TAP1","Up en todas",0.181,0.635,0.652,0.00537,0.537,0.366,"-"
"JAK2","Up en todas",0.172,0.621,0.032,0.827,0.342,0.164,"-"
"ITGAX","Up en todas",0.162,0.654,0.368,0.0465,2.056,0.00093,"-"
"HDAC3","Up en todas",0.155,0.411,0.133,0.106,0.499,0.0264,"-"
"TLR9","Up en todas",0.125,0.677,0.153,0.41,0.298,0.611,"-"
"IRF8","Up en todas",0.119,0.836,0.232,0.329,1.744,9.06e-05,"-"
"IL15","Up en todas",0.119,0.731,0.17,0.421,1.041,0.0292,"-"
"EOMES","Up en todas",0.112,0.784,0.369,0.0996,1.532,0.0101,"-"
"CD274","Up en todas",0.109,0.794,0.625,0.0113,1.768,0.000813,"-"
"CXCL13","Up en todas",0.108,0.903,0.714,0.0203,1.812,0.0559,"-"
"IRF2","Up en todas",0.105,0.673,0.108,0.303,0.69,0.0202,"-"
"ENTPD1","Up en todas",0.104,0.753,0.014,0.932,0.641,0.0453,"-"
"NLRC5","Up en todas",0.1,0.757,0.511,0.0209,1.044,0.00212,"-"
"CD5","Up en todas",0.096,0.809,0.318,0.12,1.863,0.00234,"-"
"CXCR4","Up en todas",0.093,0.864,0.101,0.685,2.108,0.000139,"-"
"BTLA","Up en todas",0.084,0.788,0.127,0.657,1.255,0.00907,"-"
"IL32","Up en todas",0.081,0.899,0.277,0.24,1.908,0.000277,"-"
"LCK","Up en todas",0.08,0.885,0.38,0.159,1.651,0.00205,"-"
"ICOS","Up en todas",0.038,0.912,0.281,0.228,1.609,0.00127,"-"
"CD40","Up en todas",0.028,0.952,0.255,0.167,1.093,0.00543,"-"
"DNAJC14","Up en todas",0.026,0.875,0.028,0.793,0.334,0.0739,"-"
"FOXP3","Up en todas",0.024,0.944,0.17,0.4,0.846,0.202,"-"
"LY9","Up en todas",0.023,0.956,0.113,0.688,2.372,7.9e-05,"-"
"CSF2","Up en todas",0.023,0.895,0.258,0.253,2.156,0.00384,"-"
"IFNGR2","Up en todas",0.02,0.95,0.02,0.862,0.581,0.0316,"-"
"CD27","Up en todas",0.014,0.982,0.297,0.327,2.357,0.000236,"-"
"OAS2","Up en todas",0.008,0.985,0.323,0.231,0.08,0.831,"-"
"TNF","Up en todas",0.006,0.964,0.249,0.271,1.152,0.0212,"-"
"CXCL16","Up en todas",0.004,0.991,0.16,0.376,1.42,0.0074,"-"
"IL2RG","Up en todas",0.003,0.996,0.437,0.11,1.739,0.000451,"-"
"IL1A","Up en todas",0.003,0.992,0.233,0.36,0.572,0.424,"-"
